# Binned XLF estimates based on combining the hard-band or soft-band samples and correcting for absorption (Aird+15 Fig. 8)
# XLF estimates include Compton-thick sources.
# For the soft band, only bins with Nsoft>=1 should be plotted.
# For the hard band, only bins with Nhard>=1 should be plotted.
# LFsoft_lo, LFsoft_hi, LFhard_lo, LFhard_hi are 1sigma upper and lower limits, *not* error bars.
# zlo zhi   lblo  lbhi   LFsoft      LFsoft_lo   LFsoft_hi   Nsoft   LFhard     LFhard_lo    LFhard_hi   Nhard
 0.80 1.00 43.25 43.50   1.432E-04   1.245E-04   1.645E-04   58.31   1.229E-04   1.061E-04   1.422E-04   53.12
 0.80 1.00 43.50 43.75   8.938E-05   7.768E-05   1.028E-04   58.02   8.557E-05   7.326E-05   9.983E-05   48.01
 0.80 1.00 43.75 44.00   5.625E-05   4.909E-05   6.441E-05   61.31   5.828E-05   4.912E-05   6.905E-05   40.11
 0.80 1.00 44.00 44.25   2.794E-05   2.392E-05   3.259E-05   48.08   2.989E-05   2.471E-05   3.609E-05   32.89
 0.80 1.00 44.25 44.50   8.807E-06   6.868E-06   1.125E-05   20.25   9.551E-06   7.312E-06   1.241E-05   17.81
 0.80 1.00 44.50 44.75   3.661E-06   2.544E-06   5.206E-06   10.37   4.254E-06   3.071E-06   5.842E-06   12.54
 0.80 1.00 44.75 45.00   5.836E-07   1.889E-07   1.462E-06    1.77   1.487E-06   9.065E-07   2.374E-06    6.17
 0.80 1.00 45.00 45.25   1.884E-07   9.876E-09   9.159E-07    0.58   1.986E-07   7.372E-08   4.578E-07    2.12
 0.80 1.00 45.75 46.00   1.272E-08   2.599E-09   4.032E-08    1.13   2.467E-10  -4.304E-06   9.906E-08    0.00
 1.00 1.20 41.00 41.25   1.785E-03   4.777E-04   4.968E-03    1.44   0.000E+00        -NaN        -NaN    0.00
 1.00 1.20 41.25 41.50   1.281E-03   6.849E-04   2.276E-03    4.23   0.000E+00        -NaN        -NaN    0.00
 1.00 1.20 41.50 41.75   6.965E-04   4.239E-04   1.113E-03    6.14   9.908E-05  -4.449E-02   1.116E-02    0.02
 1.00 1.20 41.75 42.00   4.485E-04   2.903E-04   6.795E-04    7.66   2.344E-04   2.792E-08   1.841E-03    0.31
